Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
6/10/16,94.419098,717.909973,61.91964,121.598022,22.686377,70.000549,116.620003,719.409973,93.75,51.908607,108.820572,0.76,27.518599,159.889999,22.928831,31.913015,75.278091,4.044232,95.699394,133.069214
6/13/16,92.995583,715.23999,60.680679,120.466812,22.788225,69.263985,113.949997,718.359985,93.849998,51.687527,108.615959,0.765,27.218826,157.679993,23.035515,31.415648,74.492188,4.007551,94.958206,131.970184
6/14/16,93.110229,719.299988,58.202747,121.004608,22.245041,68.923332,114.940002,718.27002,94.120003,51.816483,108.92289,0.74,27.821564,159.169998,22.420031,31.641724,74.05014,3.879162,94.939445,131.759918
6/15/16,92.80452,714.26001,58.536312,120.689339,22.847635,69.116669,114.599998,718.919983,94.290001,51.669102,108.262566,0.757,28.296734,157.5,23.23247,31.460859,73.568779,3.970868,94.32959,131.774338
6/16/16,93.196228,717.51001,59.022366,119.956795,22.805199,69.04303,114.389999,710.359985,95.440002,52.967964,108.476463,0.748,28.076687,159.690002,23.347361,31.424683,73.716125,4.053403,94.873772,133.118393
6/17/16,91.075302,706.390015,58.955654,120.374107,23.518124,69.908463,113.019997,691.719971,94.449997,51.484859,107.397644,0.754,27.709944,159.440002,23.954639,30.945402,72.586426,4.090086,94.948822,132.187134
6/20/16,90.85556,714.01001,59.374996,123.090881,24.078281,70.368828,113.370003,693.710022,93.800003,51.715157,108.383461,0.8,28.191494,159.759995,24.660393,31.198605,73.529495,4.236815,95.417938,132.983948
6/21/16,91.629425,715.820007,59.365467,121.950371,24.018871,70.424065,114.379997,695.940002,90.989998,51.816483,108.04866,0.786,28.328625,161.869995,24.758871,31.424683,73.323189,4.245986,95.295975,132.667175
6/22/16,91.285477,710.599976,59.041428,122.182213,23.806694,70.368828,113.910004,697.460022,90.010002,52.54422,108.309044,0.766,27.917233,160.479996,24.89838,31.17148,73.80455,4.30101,95.089554,132.388748
6/23/16,91.810951,722.080017,60.280388,123.832703,24.952469,72.016884,115.080002,701.869995,91.660004,53.133774,109.164673,0.78,29.176922,161.110001,25.513866,31.279997,74.423424,4.548616,96.00901,133.627197
6/24/16,89.231445,698.960022,57.240166,117.314178,23.110741,67.238464,112.080002,675.219971,88.440002,51.475655,107.537148,0.75,27.544111,161.020004,23.601759,30.719324,71.564774,4.172621,92.781517,131.803116
6/27/16,87.932129,691.359985,54.962376,113.772133,22.2705,65.719299,108.970001,668.26001,85.330002,50.950577,108.392776,0.74,27.033859,163.860001,22.986277,30.565592,70.326988,4.016722,91.205299,131.630325
6/28/16,89.412949,707.950012,55.181583,114.875549,23.195612,66.768906,112.699997,680.039978,87.970001,51.199291,109.955185,0.76,27.253904,163.350006,23.765886,31.14435,72.73378,4.31018,92.912857,133.166382
6/29/16,90.186806,715.599976,57.116432,117.749992,23.560562,68.343315,114.160004,684.109985,91.059998,52.553429,110.978195,0.772,28.296734,162.800003,24.578329,31.659801,72.969543,4.447739,94.263916,134.904053
6/30/16,91.333252,715.619995,58.198799,120.420448,24.23954,69.797997,114.279999,692.099976,91.480003,53.06929,112.810326,0.777,29.559612,171.029999,25.686201,31.840668,74.541306,4.640322,96.215416,135.5569
7/1/16,91.610306,725.679993,58.131741,120.253555,24.290464,70.387238,114.190002,699.210022,96.669998,53.37328,112.801025,0.83,30.168728,166.639999,25.907774,32.166218,75.287903,4.732028,96.3843,135.230438
7/5/16,90.750465,728.099976,56.656666,117.731461,23.602999,68.481384,114.199997,694.950012,97.910004,53.428558,113.712418,0.804,30.382395,167.880005,25.029686,32.383255,74.551132,4.502763,94.404648,135.902481
